sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
-500,258,Holy Spirit,31913.0,0,0,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
258,790,Auto,5328.0,0,5328,0,0,0,0,0,0,0,0,0,0,31913,0,0,0,0,0,0
1000,1623,Fast Blade,17548.0,0,5328,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
2498,3030,Auto,5328.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,0,0,0,0
3500,4258,Riot Blade,27643.0,0,10656,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,0,0,0
4738,5270,Auto,5595.0,0,16251,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,0,0,0
6000,6578,Royal Authority,43789.0,0,16251,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,43789,0,0
6978,7510,Auto,6358.0,0,22609,0,0,0,0,0,0,0,0,17548,0,31913,0,0,27643,43789,0,0
7250,8540,Imperator,69019.0,0,22609,0,0,0,0,0,0,0,0,17548,0,31913,69019,0,27643,43789,0,0
8500,9034,Goring Blade,83298.0,0,22609,0,0,0,0,0,0,0,0,17548,83298,31913,69019,0,27643,43789,0,0
9218,9750,Auto,7947.0,0,30556,0,0,0,0,0,0,0,0,17548,83298,31913,69019,0,27643,43789,0,0
9125,10148,Circle of Scorn,16649.0,0,30556,0,0,0,0,16649,0,0,0,17548,83298,31913,69019,0,27643,43789,0,0
9125,10500,Circle of Scorn (dot),3563.0,0,30556,0,0,0,0,16649,3563,0,0,17548,83298,31913,69019,0,27643,43789,0,0
11000,11758,Holy Spirit,59497.0,0,30556,0,0,0,0,16649,3563,0,0,17548,83298,91410,69019,0,27643,43789,0,0
11625,11982,Expiacion,53542.0,0,30556,0,0,0,0,16649,3563,0,53542,17548,83298,91410,69019,0,27643,43789,0,0
11458,11990,Auto,7947.0,0,38503,0,0,0,0,16649,3563,0,53542,17548,83298,91410,69019,0,27643,43789,0,0
9125,13500,Circle of Scorn (dot),3563.0,0,38503,0,0,0,0,16649,7126,0,53542,17548,83298,91410,69019,0,27643,43789,0,0
13500,14123,Confiteor,119001.0,0,38503,0,0,0,0,16649,7126,119001,53542,17548,83298,91410,69019,0,27643,43789,0,0
13698,14230,Auto,7947.0,0,46450,0,0,0,0,16649,7126,119001,53542,17548,83298,91410,69019,0,27643,43789,0,0
14125,14703,Intervene,17843.0,0,46450,0,0,0,0,16649,7126,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
15938,16470,Auto,7947.0,0,54397,0,0,0,0,16649,7126,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
9125,16500,Circle of Scorn (dot),3563.0,0,54397,0,0,0,0,16649,10689,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
16000,16666,Blade of Faith,90439.0,0,54397,90439,0,0,0,16649,10689,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
18178,18710,Auto,7947.0,0,62344,90439,0,0,0,16649,10689,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
18500,19391,Blade of Truth,104718.0,0,62344,90439,0,104718,0,16649,10689,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
9125,19500,Circle of Scorn (dot),3563.0,0,62344,90439,0,104718,0,16649,14252,119001,53542,17548,83298,91410,69019,17843,27643,43789,0,0
19125,19703,Intervene,17843.0,0,62344,90439,0,104718,0,16649,14252,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
20418,20950,Auto,7947.0,0,70291,90439,0,104718,0,16649,14252,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
21000,21891,Blade of Valor,119001.0,0,70291,90439,0,104718,119001,16649,14252,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
9125,22500,Circle of Scorn (dot),3563.0,0,70291,90439,0,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
21625,22785,Blade of Honor,119001.0,0,70291,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
22658,23190,Auto,7947.0,0,78238,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
23500,24793,Atonement,54736.0,54736,78238,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
24898,25430,Auto,7569.0,54736,85807,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,0
26000,27160,Supplication,53965.0,54736,85807,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,53965
27138,27670,Auto,7208.0,54736,93015,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,0,53965
28500,29790,Sepulchre,46625.0,54736,93015,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,46625,53965
29378,29910,Auto,5767.0,54736,98782,90439,119001,104718,119001,16649,17815,119001,53542,17548,83298,91410,69019,35686,27643,43789,46625,53965
