sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abyssal Drain (pet),Auto,Bloodspiller,Bloodspiller (pet),Carve and Spit,Comeuppance,Disesteem,Disesteem (pet),Edge of Shadow,Edge of Shadow (pet),Hard Slash,Salt and Darkness,Salted Earth,Salted Earth (dot),Scarlet Delirium,Shadowbringer,Shadowbringer (pet),Souleater,Syphon Strike,Torcleaver
0,581,Hard Slash,24258.0,0,0,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
581,1113,Auto,7242.0,0,7242,0,0,0,0,0,0,0,0,24258,0,0,0,0,0,0,0,0,0
1750,2374,Edge of Shadow,40675.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,0,0
2500,3124,Syphon Strike,36956.0,0,7242,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
3541,4073,Auto,8621.0,0,15863,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,0,36956,0
5000,5624,Souleater,46684.0,0,15863,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,46684,36956,0
6501,7033,Auto,11022.0,0,26885,0,0,0,0,0,0,40675,0,24258,0,0,0,0,0,0,46684,36956,0
6250,7150,Salted Earth,5801.0,0,26885,0,0,0,0,0,0,40675,0,24258,0,5801,0,0,0,0,46684,36956,0
6250,7500,Salted Earth (dot),5801.0,0,26885,0,0,0,0,0,0,40675,0,24258,0,5801,5801,0,0,0,46684,36956,0
7500,8081,Hard Slash,37302.0,0,26885,0,0,0,0,0,0,40675,0,61560,0,5801,5801,0,0,0,46684,36956,0
8125,8749,Edge of Shadow,57202.0,0,26885,0,0,0,0,0,0,97877,0,61560,0,5801,5801,0,0,0,46684,36956,0
8750,9416,Shadowbringer,74610.0,0,26885,0,0,0,0,0,0,97877,0,61560,0,5801,5801,0,74610,0,46684,36956,0
9925,9925,Abyssal Drain (pet),55428.0,55428,26885,0,0,0,0,0,0,97877,0,61560,0,5801,5801,0,74610,0,46684,36956,0
9461,9993,Auto,11022.0,55428,37907,0,0,0,0,0,0,97877,0,61560,0,5801,5801,0,74610,0,46684,36956,0
